,item,item_code
0,TeamBTS,7060
14,TwitterBestFandom,7349
121,BTS,842
213,SoompiAwards,6693
314,BoyWithLuv,1156
334,RM,5949
368,방탄소년단,45865
408,BTSWORLD,853
415,MTVLAFANDOMBTSARMY,4539
441,MTVLAKPOPBTS,4542
472,PremiosMTVMIAW,5798
547,BTSARMY,844
580,SUGA,6324
599,EpikHigh,2186
603,GRAMMYs,2782
626,Halsey,3065
629,JIN,3862
639,btsfanart,8480
647,ARMY,306
666,ARMYPEDIA,307
670,BTSArmy,845
683,BTS월드,866
686,BestBoyBand,1030
693,GOT7,2763
724,Grammys,2947
736,JK,3864
762,Jungkook,3967
767,NCT127,4976
776,PERSONA,5435
779,SNL,6295
789,TAEHYUNG,6956
793,bts,8477
811,iHeartAwards,9469
865,twitterbestfandom,11128
886,방밤캠,45863
890,방탄밤,45864
902,아미피디아,45916
905,فوتسال_بانوان,33690
945,ترامپ,19447
2503,روحانی,26146
4433,فوتسال_زنان,33691
4460,ارتش,13167
4822,تلگرام,19981
5650,جعفر_پناهى,20924
5656,سینا_قنبری,29337
5891,شفایی_اصفهانی,29899
5898,علیرضا_کریمی,32221
5926,فضای_مجازی,33508
6189,فیلترشکن,33807
6327,لغو_برجام,35000
6345,محمد_صلاح,36148
6402,مسیح_علینژاد,37194
6864,نرمالیزاسیون,39292
6891,دولت_خائن,24759
6894,مسجد_پناه_مردم,37088
6904,هکسره,40969
7056,استقلال,13625
7664,برجام,17686
9110,حسن_آقامیری,21936
9175,سایه,27624
9263,سخنرانیهای_استاد_کاظمی,27749
9322,سعدی,28063
9957,شجریان,29699
10256,موادمخدر,38359
10280,نود,39953
10811,پدافند_هوایی,42170
10815,ژنتیک,43506
10818,ژن‌خوب,43513
10827,کربلای_چهار,44003
11165,اللهم_عجل_لولیک_الفرج,15203
11688,MahdiSonOfHussain,4580
11768,اللهم_صل_علی_محمدﷺو_آل_محمدﷺو_عجل_فرجهم,15194
11848,اللهم_صل_على_محمد_وآل_محمد_وعجل_فرجهم,15184
11915,اللهم_صل_على_محمد_وال_محمد_وعجل_فرجهم,15186
11934,سلام_مدافع_وطن,28281
11987,سیل,29231
13440,ذوالفقار_سیدعلی,25168
13458,شهید,30221
13821,سلبریتی,28307
14239,سپاه,28867
15436,شهدا,30026
15651,خوزستان,23413
16478,یا_علی,45325
16532,آمریکا,12140
17806,امام_رضا,15554
17967,ايران,16384
18849,برارشیرم_سیتوبمیرم,17584
18933,تروریسم,19590
19202,حسن_روحانی,21956
19556,رمضان,25969
20147,زندگی_سگی_اسرائیلیها,27155
20390,سفارت_ایتالیا,28172
20393,سلبریتی_بیسواد,28312
20538,سنت_حسنه_فالو,28485
20639,سوریه,28701
21190,سيل,28825
21587,سیل_خوزستان,29250
21921,شهادت,30003
22180,شهدا_شرمنده_ایم,30029
22216,شهداء,30033
22232,شهید_مهدی_ثامنی_راد,30320
22248,من_یک_سپاهی_ام,37955
22321,مهناز_افشار,38331
22671,نیوزیلند,40263
22867,گام_دوم_انقلاب,44791
23434,گلستان,45054
23925,یا_حسین_ع,45311
23928,BDS,802
23957,Fatf,2418
23997,KuToo,4202
24001,Paris,5611
24155,france,9147
24168,israel,9659
24186,palestine,10214
24204,آستان_قدس,11902
24279,آشنا,11946
24463,آق_قلا,11991
24747,آمد,12122
24751,ابادان,12531
24755,احمد_متوسلیان,12918
24802,از_کجا_آوردی,13377
24809,استرالیا,13577
24871,استعمار,13607
24911,اسنپ,13837
25556,اصلاح_طلبان,14011
25834,التماس_دعا,14705
25877,اللهم,15167
25905,اللهم_اغفر_لحينا_وميتنا,15173
25908,اللهم_صل_على_محمد_وآل_محمد,15182
25951,اللهم_صل_علی_محمد_و_آل_محمد,15187
25955,اللهم_عجل_لوليك_الفرج,15199
26304,امام_خامنه_ای,15542
26596,امام_خمینی,15549
26903,امام_موسی_کاظم,15589
26935,امر_به_معروف,15645
26985,امین_کریمی,15891
26993,انگلستان,16231
27078,اهواز,16276
28015,ایران,16590
31005,ایرانی,16752
31450,بازهم_بسیج,17169
31734,برخورد_اراده_ها,17710
31915,بریتانیا,17868
32026,بزرگترین_اجتماع_منتظران,17889
32056,بسیجی_ام,17966
32251,بیچاره,18866
32260,تاریخ,19006
32433,تحکیم_وحدت,19366
32436,ته_خط_اخبار,20106
32440,تهران,20119
33570,جمهوريت,21062
33575,جهانگیری,21341
33987,حاج_حسین_یکتا,21566
34017,حب_الایران_یجمعنا,21697
34055,حب_الحسین_یجمعنا,21702
34472,حجاب,21732
35091,حضرت_زهرا,22151
35133,حضرت_ماه,22164
35154,حق_طلب,22213
35162,حمله_تروریستی_نیوزیلند,22422
35182,حميديه,22446
35194,خبرگزاری_مهر,22856
35217,خود_تحقیری,23326
35222,دانشگاه_تهران,23792
35693,دختر,23898
35870,درازهی,23993
36000,دروغ_سیزده,24103
36069,دفاع_مقدس,24318
36164,دنیا,24518
36254,دولت,24719
36859,دولت_دروغ,24762
36867,دولت_روحانی,24769
36948,دوم_خردادی,24811
36952,دیالوگ_ماندگار,24991
36973,دیپلماسی,25101
37051,ذوالقدر,25170
37056,راننده,25391
37084,راهیان_نور,25449
37186,رجب,25527
37224,رسول_مهر,25684
37236,رضاکیانیان,25849
37240,رهبرم_سیدعلی,26037
37249,رهبری,26043
37634,روز_شهدا,26317
37656,روزه_خواری,26446
37674,روهانی,26548
37699,رییسی,26794
37897,زن,27001
38306,زیباکلام,27282
38476,سازش,27381
38521,ساسی_مانکن,27458
38591,سلام_صبح_بخیر,28278
38595,سلبریتی_احمق,28309
38600,سلبریتی_بیشرف,28313
38603,سلبریتی‌,28334
38626,سیل_شیراز,29260
39019,سیل_لرستان,29263
39479,سیل_گلستان,29276
39898,سیل_گلستان_مازندران,29279
40355,شلمچه,29930
40381,شهداء_القطيف,30036
40407,شهریاری,30188
40420,شهيد_همت,30212
40423,شهید_مدافع_حرم,30306
40451,شهید_چمران,30332
40494,شهیدان,30340
40540,شیمیایی,30672
40560,صبحتون_شهدایی,30794
40563,صلوات,30971
40660,ضد_انقلاب,31082
40698,طنز_تلخ,31276
40735,ظریف,31337
41919,عارفی,31425
41922,عاشقانه,31432
42033,عباس,31495
42096,عدالت,31633
42387,عراق,31680
42924,عربستان,31696
43419,عصر_شفافیت,31844
43466,علی_برکت_الله,32076
43606,عيد_الفطر_المبارك,32429
43655,عید_فطر,32473
43762,غربزده,32570
43780,غربگرا,32577
43791,فرمانده,33265
43849,فقط_حیدر_امیرالمومنین_است,33568
43876,لبنان,34888
44121,لبیک_یا_خامنه_ای,34906
44361,لرستان,34941
44893,لیست_فالو,35165
44946,مادر,35331
45364,ماهشهر,35580
45421,مجازی,35762
45483,مجلس,35822
46243,مجید_قربانخانی,35892
46287,محرم,35946
46567,مدافع_حرم,36453
46723,مدافعان_حرم,36460
46904,مدیریت_جهادی,36553
46940,مراسم_احیای_مهدوی,36608
46964,مرتجى_القريريص,36626
46972,مروی,36819
46978,مزدوران,36981
47003,مستضعفین,37058
47030,مستعمره,37059
47037,مسلمان,37157
47175,مسلمانان,37159
47216,مسیح_علی_نژاد,37192
47243,معراج_شهدا,37486
47248,من_هم_سپاهی_ام,37916
47540,منتظران_ظهور,38029
47544,منطق_مقاومت,38077
47674,مولانا,38515
48277,ميرحسين_موسوي,38584
48470,می_آیم_چون,38659
48659,میرحسین_موسوی,38747
48993,نامه,39054
49028,نحن_منتقمون,39219
49052,نظام,39420
49237,نفوذی,39534
49319,نقض_برجام,39566
49328,نقض_حقوق_بشر,39568
49351,نماینده_سراوان,39638
49558,نهی_از_منکر,39902
